POS,Player,Team,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Yuzvendra Chahal,RR,145,144,527,4056,187,5/40,21.69,7.67,16.97,6,1
2,Dwayne Bravo,CSK,161,158,516,4359,183,4/22,23.82,8.38,17.05,2,0
3,Piyush Chawla,MI,181,180,605,4796,179,4/17,26.79,7.91,20.34,2,0
4,Amit Mishra,LSG,161,161,559,4129,173,5/17,23.87,7.38,19.42,4,1
5,Ravichandran Ashwin,RR,197,194,698,4903,171,4/34,28.67,7.01,24.53,1,0
6,Lasith Malinga,MI,122,122,471,3366,170,5/13,19.8,7.14,16.63,6,1
7,Bhuvneshwar Kumar,SRH,160,160,593,4396,170,5/19,25.86,7.39,20.99,2,2
8,Sunil Narine,KKR,162,161,624,4203,163,5/19,25.79,6.73,22.98,7,1
9,Ravindra Jadeja,CSK,226,197,589,4495,152,5/16,29.57,7.6,23.34,3,1
10,Harbhajan Singh,KKR,163,160,569,4030,150,5/18,26.87,7.08,22.77,1,1
11,Jasprit Bumrah,MI,120,120,455,3378,145,5/10,23.3,7.39,18.91,2,1
12,Rashid Khan,GT,109,109,432,2885,139,4/24,20.76,6.67,18.68,2,0
13,Umesh Yadav,KKR,141,140,487,4086,136,4/23,30.04,8.38,21.5,3,0
14,Mohammad Shami,GT,110,110,403,3412,127,4/11,26.87,8.44,19.1,2,0
15,Sandeep Sharma,RR,116,116,431,3398,124,4/20,27.4,7.86,20.92,2,0
16,Mohit Sharma,GT,100,100,334,2831,119,5/10,23.79,8.41,16.97,3,1
17,Axar Patel,DC,136,134,472,3421,112,4/21,30.54,7.24,25.31,1,0
18,Harshal Patel,RCB,91,89,310,2672,111,5/27,24.07,8.59,16.82,2,1
19,Kagiso Rabada,PBKS,69,69,260,2198,106,4/21,20.74,8.42,14.77,6,0
20,Vinay Kumar,KKR,105,104,353,2966,105,4/40,28.25,8.39,20.2,1,0
21,Trent Boult,RR,88,88,335,2787,105,4/18,26.54,8.29,19.21,1,0
22,Zaheer Khan,DC,100,99,366,2782,102,4/17,27.27,7.59,21.57,1,0
23,Dale Steyn,RCB,95,95,362,2508,97,3/11,25.86,6.92,22.43,0,0
24,Andre Russell,KKR,112,98,252,2351,96,5/15,24.49,9.27,15.84,2,1
25,Chris Morris,RR,81,81,286,2295,95,4/23,24.16,8.01,18.11,4,0
