Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
0,0,0,,Aaron Hardie,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,1,1,2024.0,Abdul Samad,16.0,2.0,182.0,37*,18.2,108.0,168.52,0.0,0.0,15.0,11.0,9.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2,2,2,2023.0,Abdul Samad,9.0,4.0,169.0,37*,42.25,128.0,132.03,0.0,0.0,10.0,11.0,4.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,3,3,2022.0,Abdul Samad,2.0,0.0,4.0,4,2.0,7.0,57.14,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,8.0,0.0,0/8,0.0,8.0,0.0,0.0,0.0
4,4,4,2021.0,Abdul Samad,11.0,1.0,111.0,28,12.33,87.0,127.58,0.0,0.0,4.0,8.0,8.0,0.0,11.0,6.0,9.0,1.0,1/9,9.0,9.0,6.0,0.0,0.0
5,5,5,2020.0,Abdul Samad,12.0,3.0,111.0,33,22.2,65.0,170.76,0.0,0.0,8.0,6.0,5.0,0.0,12.0,42.0,96.0,1.0,1/41,96.0,13.71,42.0,0.0,0.0
6,6,6,,Abhinandan Singh,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7,7,7,2024.0,Abhinav Manohar,2.0,0.0,9.0,8,4.5,16.0,56.25,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8,8,8,2023.0,Abhinav Manohar,9.0,0.0,114.0,42,19.0,83.0,137.35,0.0,0.0,6.0,7.0,4.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9,9,9,2022.0,Abhinav Manohar,8.0,1.0,108.0,43,18.0,75.0,144.0,0.0,0.0,14.0,3.0,4.0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,10,10,2024.0,Abhishek Sharma,16.0,1.0,484.0,75*,32.27,237.0,204.22,0.0,3.0,36.0,42.0,7.0,0.0,16.0,42.0,51.0,2.0,2/24,25.5,7.29,21.0,0.0,0.0
11,11,11,2023.0,Abhishek Sharma,11.0,0.0,226.0,67,20.55,157.0,143.95,0.0,2.0,28.0,6.0,4.0,0.0,11.0,72.0,124.0,2.0,1/26,62.0,10.33,36.0,0.0,0.0
12,12,12,2022.0,Abhishek Sharma,14.0,0.0,426.0,75,30.43,320.0,133.13,0.0,2.0,47.0,13.0,1.0,0.0,14.0,24.0,38.0,0.0,0/10,0.0,9.5,0.0,0.0,0.0
13,13,13,2021.0,Abhishek Sharma,8.0,1.0,98.0,33,16.33,75.0,130.66,0.0,0.0,7.0,4.0,2.0,0.0,8.0,60.0,64.0,4.0,2/4,16.0,6.4,15.0,0.0,0.0
14,14,14,2020.0,Abhishek Sharma,8.0,2.0,71.0,31,14.2,56.0,126.78,0.0,0.0,6.0,3.0,1.0,0.0,8.0,60.0,91.0,2.0,1/15,45.5,9.1,30.0,0.0,0.0
15,15,15,2019.0,Abhishek Sharma,3.0,1.0,9.0,5*,4.5,9.0,100.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,12.0,21.0,1.0,1/10,21.0,10.5,12.0,0.0,0.0
16,16,16,2018.0,Abhishek Sharma,3.0,2.0,63.0,46*,63.0,33.0,190.9,0.0,0.0,3.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
17,17,17,2024.0,Abishek Porel,14.0,2.0,327.0,65,32.7,205.0,159.51,0.0,2.0,36.0,13.0,2.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
18,18,18,2023.0,Abishek Porel,4.0,0.0,33.0,20,8.25,31.0,106.45,0.0,0.0,1.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
19,19,19,2020.0,Adam Zampa,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.0,92.0,2.0,1/12,46.0,8.36,33.0,0.0,0.0
20,20,20,2017.0,Adam Zampa,6.0,0.0,5.0,5,5.0,7.0,71.42,0.0,0.0,1.0,0.0,0.0,0.0,6.0,119.0,163.0,7.0,2/22,23.28,8.21,17.0,0.0,0.0
21,21,21,2016.0,Adam Zampa,5.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,102.0,115.0,12.0,6/19,9.58,6.76,8.5,0.0,1.0
22,22,22,2024.0,Aiden Markram,11.0,2.0,220.0,50,24.44,177.0,124.29,0.0,1.0,18.0,4.0,5.0,0.0,11.0,12.0,15.0,0.0,0/5,0.0,7.5,0.0,0.0,0.0
23,23,23,2023.0,Aiden Markram,13.0,2.0,248.0,50,22.55,197.0,125.89,0.0,1.0,18.0,8.0,11.0,0.0,13.0,49.0,70.0,1.0,1/24,70.0,8.57,49.0,0.0,0.0
24,24,24,2022.0,Aiden Markram,14.0,4.0,381.0,68*,47.63,274.0,139.05,0.0,3.0,25.0,19.0,6.0,0.0,14.0,36.0,64.0,1.0,1/8,64.0,10.67,36.0,0.0,0.0
25,25,25,2021.0,Aiden Markram,6.0,1.0,146.0,42,29.2,119.0,122.68,0.0,0.0,12.0,4.0,3.0,0.0,6.0,24.0,23.0,0.0,0/5,0.0,5.75,0.0,0.0,0.0
26,26,26,,Ajay Mandal,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
27,27,27,2024.0,Ajinkya Rahane,13.0,0.0,242.0,45,20.17,196.0,123.47,0.0,0.0,23.0,7.0,1.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
28,28,28,2023.0,Ajinkya Rahane,14.0,1.0,326.0,71*,32.6,189.0,172.49,0.0,2.0,24.0,16.0,8.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
29,29,29,2022.0,Ajinkya Rahane,7.0,0.0,133.0,44,19.0,128.0,103.91,0.0,0.0,14.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,30,30,2021.0,Ajinkya Rahane,2.0,0.0,8.0,8,8.0,8.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
31,31,31,2020.0,Ajinkya Rahane,9.0,0.0,113.0,60,14.12,107.0,105.6,0.0,1.0,12.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
32,32,32,2019.0,Ajinkya Rahane,14.0,1.0,393.0,105*,32.75,285.0,137.89,1.0,1.0,45.0,9.0,5.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
33,33,33,2018.0,Ajinkya Rahane,15.0,1.0,370.0,65*,28.46,313.0,118.21,0.0,1.0,39.0,5.0,4.0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
34,34,34,2017.0,Ajinkya Rahane,16.0,1.0,382.0,60,25.46,323.0,118.26,0.0,2.0,35.0,9.0,7.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
35,35,35,2016.0,Ajinkya Rahane,14.0,3.0,480.0,74,43.63,379.0,126.64,0.0,6.0,54.0,9.0,7.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
36,36,36,2015.0,Ajinkya Rahane,14.0,2.0,540.0,91*,49.09,413.0,130.75,0.0,4.0,53.0,13.0,3.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
